?cls,?mondo_label,?definition,?gene,?gene_label
<http://purl.obolibrary.org/obo/MONDO_0060627>,glycosylphosphatidylinositol biosynthesis defect 15,"A rare, genetic, syndromic intellectual disability characterized by global developmental delay, early-onset seizures, cerebellar atrophy, osteopenia, nystagmus and dysmorphic facial features, including bitemporal narrowing, prominent forehead, anteverted nares. Dysarthria, dysmetria, ataxic gait, spasticity and dysmorphic features have also been associated.",<http://identifiers.org/hgnc/4446>,GPAA1
<http://purl.obolibrary.org/obo/MONDO_0008717>,"acromesomelic dysplasia 2C, Hunter-Thompson type","Acromesomelic dysplasia, Hunter-Thomson type is an autosomal recessively inherited form of acromesomelic dysplasia characterized by severe dwarfism (adult height approximately 120 cm) with abnormalities limited to the limbs (affecting the lower limbs more than upper limbs, with middle and distal segments being the most affected), severe shortening, absence or fusion of tubular bones of hands and feet and large joint dislocations. As seen in acromesomelic dysplasia, Grebe type and acromesomelic dysplasia, Maroteaux type, facial features and intelligence are normal.",<http://identifiers.org/hgnc/4220>,GDF5
<http://purl.obolibrary.org/obo/MONDO_0009567>,Marinesco-Sjogren syndrome,"Marinesco-Sjogren syndrome (MSS) belongs to the group of autosomal recessive cerebellar ataxias. Cardinal features of MSS are cerebellar ataxia, congenital cataract, and delayed psychomotor development.",<http://identifiers.org/hgnc/24624>,SIL1
<http://purl.obolibrary.org/obo/MONDO_0007810>,autosomal dominant ichthyosis vulgaris,"Ichthyosis vulgaris is a common skin disorder passed down through families that leads to dry, scaly skin. It often begins in early childhood. Treatment may include heavy duty moisturizers which contain chemicals that help the skin to shed normally, including lactic acid, salicylic acid, and urea. Ichthyosis vulgaris can be a nuisance, but it rarely affects overall health. The condition usually disappears during adulthood, but may return in later years. This condition is inherited in an autosomal dominant pattern.",<http://identifiers.org/hgnc/3748>,FLG
<http://purl.obolibrary.org/obo/MONDO_0008701>,achondrogenesis type IA,"Achondrogenesis type 1A (ACG1A), a form of achondrogenesis, is a very rare, lethal skeletal dysplasia characterized by dwarfism with extremely short limbs, narrow chest, short ribs that are easily fractured, soft skull bones and distinctive histological features of the cartilage.",<http://identifiers.org/hgnc/12305>,TRIP11
<http://purl.obolibrary.org/obo/MONDO_0010794>,NARP syndrome,"Neuropathy, Ataxia, and Retinitis Pigmentosa (NARP) syndrome is a clinically heterogeneous progressive condition characterized by a combination of proximal neurogenic muscle weakness, sensory-motor neuropathy, ataxia, and pigmentary retinopathy.",<http://identifiers.org/hgnc/7414>,MT-ATP6
<http://purl.obolibrary.org/obo/MONDO_0009452>,Vici syndrome,"A very rare and severe congenital multisystem disorder characterized by the principal features of agenesis of the corpus callosum, cataracts, oculocutaneous hypopigmentation, cardiomyopathy and combined immunodeficiency.",<http://identifiers.org/hgnc/29331>,EPG5
<http://purl.obolibrary.org/obo/MONDO_0012809>,"histiocytoma, Angiomatoid fibrous","A low malignant potential soft tissue neoplasm of uncertain differentiation. It typically affects young patients, presenting as a slowly growing nodular or cystic tumor mass, most often in the subcutaneous tissues of the extremities. Occasionally, patients have systemic symptoms (anemia, fever, and weight loss). This tumor has a relatively good prognosis. A minority of patients develop local recurrences. Metastases are rare.",<http://identifiers.org/hgnc/2345>,CREB1
<http://purl.obolibrary.org/obo/MONDO_0011633>,Charcot-Marie-Tooth disease axonal type 2C,"Autosomal dominant Charcot-Marie-Tooth disease type 2C (CMT2C) is a form of axonal Charcot-Marie-Tooth disease, a peripheral sensorimotor neuropathy, characterized by the association of vocal cord anomalies, impairment of respiratory muscles and sensorineural hearing loss with the distal hands and feet weakness. Onset is between infancy and the 6th decade.",<http://identifiers.org/hgnc/18083>,TRPV4
<http://purl.obolibrary.org/obo/MONDO_0014910>,primary ciliary dyskinesia 35,Any primary ciliary dyskinesia in which the cause of the disease is a mutation in the TTC25 gene.,<http://identifiers.org/hgnc/25280>,ODAD4
<http://purl.obolibrary.org/obo/MONDO_0014900>,autosomal recessive limb-girdle muscular dystrophy type 2Y,"Autosomal recessive limb-girdle muscular dystrophy type 2Y (LGMD2Y) is a form of limb-girdle muscular dystrophy, presenting in the first or second decades of life, characterized by slowly progressive proximal and distal muscle weakness and atrophy. Additional manifestations include contractures of the proximal and distal interphalangeal hand joints, rigid spine, restricted pulmonary function, and mild cardiomyopathy.",<http://identifiers.org/hgnc/29456>,TOR1AIP1
<http://purl.obolibrary.org/obo/MONDO_0009475>,isovaleric acidemia,"Isovaleric acidemia (IVA) is an autosomal recessively inherited organic aciduria characterized by a deficiency in isovaleryl-CoA dehydrogenase, that has wide clinical variability and that can present in infancy with acute manifestations of vomiting, failure to thrive, seizures, lethargy, a characteristic ''sweaty feet'' odor, acute pancreatitis and mild to severe developmental delay or in childhood with metabolic acidosis (brought on by prolonged fasting, an increased intake of protein-rich food or infections) and that can be fatal if not treated immediately. Chronic intermittent presentations and asymptomatic patients have also been reported.",<http://identifiers.org/hgnc/6186>,IVD
<http://purl.obolibrary.org/obo/MONDO_0009107>,diastrophic dysplasia,"Diastrophic dwarfism is a rare disorder marked by short stature with short extremities (final adult height is 120cm +/- 10cm), and joint malformations leading to multiple joint contractures (principally involving the shoulders, elbows, interphalangeal joints and hips).",<http://identifiers.org/hgnc/10994>,SLC26A2
<http://purl.obolibrary.org/obo/MONDO_0009141>,torsion dystonia 2,Primary dystonia DYT2 type is characterized by segmental dystonia that manifests with involuntary posturing affecting predominantly the feet.,<http://identifiers.org/hgnc/5144>,HPCA
<http://purl.obolibrary.org/obo/MONDO_0012651>,spastic ataxia 2,"Autosomal recessive spastic paraplegia type 58 is a rare, complex subtype of hereditary spastic paraplegia characterized by variable onset of slowly progressive lower limb spasticity and weakness and prominent cerebellar ataxia, associated with gait disturbances, dysarthria, increased deep tendon reflexes and extensor plantar responses. Additional features may include involuntary movements (i.e. clonus, tremor, fasciculations, chorea), decreased vibration sense, oculomotor abnormalities (e.g. nystagmus) and distal amyotrophy in the upper and lower limbs.",<http://identifiers.org/hgnc/6317>,KIF1C
<http://purl.obolibrary.org/obo/MONDO_0009653>,mucolipidosis type IV,"A lysosomal storage disease characterized clinically by psychomotor retardation and visual abnormalities including corneal clouding, retinal degeneration, or strabismus.",<http://identifiers.org/hgnc/13356>,MCOLN1
<http://purl.obolibrary.org/obo/MONDO_0012652>,autosomal recessive limb-girdle muscular dystrophy type 2L,"A form of limb-girdle muscular dystrophy most often characterized by an adult onset (but ranging from 11 to 51 years) of mainly proximal lower limb weakness, with difficulties standing on tiptoes being one of the initial signs. Proximal upper limb and distal lower limb weakness is also common as well as atrophy of the quadriceps (most commonly), biceps brachii, and lower leg muscles. However, calf hypertrophy has also been reported in some cases. LGMD2L progresses slowly, with most patients remaining ambulatory until late adulthood.",<http://identifiers.org/hgnc/27337>,ANO5
<http://purl.obolibrary.org/obo/MONDO_0010455>,"X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection and neoplasia","X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection and neoplasia is a rare combined T and B cell immunodeficiency characterized by recurrent sinopulmonary and viral infections, persistent elevated Epstein-Barr virus (EBV) viremia and increased susceptibility to EBV-associated B-cell lymphoproliferative disorders. Immunological analyzes show normal lymphocyte count or mild to moderate lymphopenia, inverted CD4:CD8 T-cell ratio and hypogammaglobulinemias.",<http://identifiers.org/hgnc/28880>,MAGT1
<http://purl.obolibrary.org/obo/MONDO_0021020>,Crigler-Najjar syndrome type 1,"Crigler-Najjar syndrome type 1 (CNS1) is the most severe form of CNS, a hereditary disorder of hepatic bilirubin conjugation, characterized by severe neonatal unconjugated hyperbilirubinemia due to a complete absence of hepatic bilirubin glucuronosyltransferase (BGT).",<http://identifiers.org/hgnc/12530>,UGT1A1
<http://purl.obolibrary.org/obo/MONDO_0014958>,Harel-Yoon syndrome,"A syndromic neurodevelopmental disorder characterized by delayed psychomotor development, intellectual disability, truncal hypotonia, spasticity, and peripheral neuropathy.",<http://identifiers.org/hgnc/25567>,ATAD3A
<http://purl.obolibrary.org/obo/MONDO_0012802>,oculoauricular syndrome,"Oculoauricular syndrome, Schorderet type is a rare, genetic developmental defect during embryogenesis characterized by various ophthalmic anomalies (including congenital microphthalmia, microcornea, cataract, anterior segment dysgenesis, ocular coloboma and early onset rod-cone dystrophy), and abnormal external ears (low-set pinna with crumpled helix, narrow intertragic incisure, abnormal bridge connecting the crus of the helix and the anthelix, narrow external acoustic meatus, and lobule aplasia).",<http://identifiers.org/hgnc/5017>,HMX1
<http://purl.obolibrary.org/obo/MONDO_0019666>,"spondyloepimetaphyseal dysplasia, PAPSS2 type","A spondyloepimetaphyseal dysplasia characterized by short stature, short and bowed lower limbs, mild brachydactyly, kyphoscoliosis, abnormal gait, enlarged knee joints, precocious osteoarthropathy, and normal intelligence.",<http://identifiers.org/hgnc/8604>,PAPSS2
<http://purl.obolibrary.org/obo/MONDO_0008476>,"spondyloepimetaphyseal dysplasia, Strudwick type","A spondyloepimetaphyseal dysplasia characterized by disproportionate short stature from birth (with a very short trunk and shortened limbs) and skeletal abnormalities (lordosis, scoliosis, flattened vertebrae, pectus carinatum, coxa vara, clubfoot, and abnormal epiphyses or metaphyses).",<http://identifiers.org/hgnc/2200>,COL2A1
<http://purl.obolibrary.org/obo/MONDO_0012136>,"carnitine palmitoyl transferase II deficiency, neonatal form","The neonatal form of carnitine palmitoyltransferase II (CPT II) deficiency, an inherited disorder that affects mitochondrial oxidation of long chain fatty acids (LCFA), is the lethal form of the disease which presents with multisystem failure.",<http://identifiers.org/hgnc/2330>,CPT2
<http://purl.obolibrary.org/obo/MONDO_0008094>,familial multiple nevi flammei,A congenital vascular malformation in the skin (birthmark) characterized by the presence of dilated capillaries. The affected area of the skin is flat and reddish-purplish in color.,<http://identifiers.org/hgnc/4390>,GNAQ
<http://purl.obolibrary.org/obo/MONDO_0014717>,early-onset Lafora body disease,"Early-onset Lafora body disease is an extremely rare, inherited form of progressive myoclonic epilepsy characterized by progressive myoclonus epilepsy and Lafora bodies, with an early onset (at around 5 years) and a prolonged disease course. Other manifestations include progressive dysarthria, ataxia, cognitive decline, psychosis, dementia, spasticity, dysarthria, myoclonus, and ataxia. The disease course typically extends for several decades.",<http://identifiers.org/hgnc/13993>,PRDM8
<http://purl.obolibrary.org/obo/MONDO_0012449>,spinocerebellar ataxia type 23,"Spinocerebellar ataxia type 23 (SCA23) is a very rare subtype of type I autosomal dominant cerebellar ataxia (ADCA type I). It is characterized by gait ataxia, dysarthria, slowed saccades, ocular dysmetria, Babinski sign and hyperreflexia.",<http://identifiers.org/hgnc/8820>,PDYN
<http://purl.obolibrary.org/obo/MONDO_0008251>,familial pityriasis rubra pilaris,"A rare chronic papulosquamous disorder of unknown etiology characterized by small follicular papules, scaly red-orange patches, and palmoplantar hyperkeratosis, which may progress to plaques or erythroderma. Although most of the cases are sporadic and acquired, a familial form of the disease exists.",<http://identifiers.org/hgnc/16446>,CARD14
<http://purl.obolibrary.org/obo/MONDO_0010650>,Melnick-Needles syndrome,"A otopalatodigital syndrome spectrum disorder and is associated with a short stature, facial dysmorphism, osseous abnormalities involving the majority of the axial and appendicular skeleton resulting in impaired speech and masticatory problems.",<http://identifiers.org/hgnc/3754>,FLNA
<http://purl.obolibrary.org/obo/MONDO_0012897>,congenital factor XI deficiency,"Congenital factor XI deficiency is an inherited bleeding disorder characterized by reduced levels and activity of factor XI (FXI) resulting in moderate bleeding symptoms, usually occurring after trauma or surgery.",<http://identifiers.org/hgnc/3529>,F11
<http://purl.obolibrary.org/obo/MONDO_0013776>,spastic ataxia 5,"Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome is a rare hereditary spastic ataxia disorder characterized by childhood onset of slowly progressive lower limb spastic paraparesis and cerebellar ataxia (with dysarthria, swallowing difficulties, motor degeneration), associated with sensorimotor neuropathy (including muscle weakness and distal amyotrophy in lower extremities) and progressive myoclonic epilepsy. Ocular signs (ptosis, oculomotor apraxia), dysmetria, dysdiadochokinesia, dystonic movements and myoclonus may also be associated.",<http://identifiers.org/hgnc/315>,AFG3L2
<http://purl.obolibrary.org/obo/MONDO_0008329>,autosomal dominant pseudohypoaldosteronism type 1,Renal pseudohypoaldosteronism type 1 (renal PHA1) is a mild form of primary mineralocorticoid resistance restricted to the kidney.,<http://identifiers.org/hgnc/7979>,NR3C2
<http://purl.obolibrary.org/obo/MONDO_0008222>,Andersen-Tawil syndrome,"Andersen's syndrome (AS) is a rare disorder characterized by periodic muscle paralysis, prolongation of the QT interval with a variety of ventricular arrhythmias (leading to predisposition to sudden cardiac death) and characteristic physical features: short stature, scoliosis, low-set ears, hypertelorism, broad nasal root, micrognathia, clinodactyly, brachydactyly and syndactyly.",<http://identifiers.org/hgnc/6263>,KCNJ2
<http://purl.obolibrary.org/obo/MONDO_0009849>,hyperimmunoglobulinemia D with periodic fever,"Hyperimmunoglobinemia D with periodic fever (HIDS) is a rare autoinflammatory disease characterized by periodic attacks of fever and a systemic inflammatory reaction (cervical lymphadenopathy, abdominal pain, vomiting, diarrhea, arthralgias and skin signs).",<http://identifiers.org/hgnc/7530>,MVK
<http://purl.obolibrary.org/obo/MONDO_0010382>,fragile X-associated tremor/ataxia syndrome,Fragile X-associated tremor/ataxia syndrome (FXTAS) is a rare neurodegenerative disorder characterized by adult-onset progressive intention tremor and gait ataxia.,<http://identifiers.org/hgnc/3945>,FRAXA
<http://purl.obolibrary.org/obo/MONDO_0012683>,pontocerebellar hypoplasia type 6,"Pontocerebellar hypoplasia type 6 (PCH6) is a rare form of pontocerebellar hypoplasia characterized clinically at birth by hypotonia, clonus, epilepsy impaired swallowing and from infancy by progressive microencephaly, spasticity and lactic acidosis.",<http://identifiers.org/hgnc/21406>,RARS2
<http://purl.obolibrary.org/obo/MONDO_0007937>,renal hypomagnesemia 2,"Autosomal dominant primary hypomagnesemia with hypocalciuria (ADPHH) is a mild form of familial primary hypomagnesemia (FPH), characterized by extreme weakness, tetany and convulsions. Secondary disturbances in calcium excretion are observed.",<http://identifiers.org/hgnc/4026>,FXYD2
<http://purl.obolibrary.org/obo/MONDO_0800468>,SCN4A-related channelopathy,"Any muscular channelopathy in which the cause of the disease is a variation in the SCN4 gene. This is characteristic of a continuum in the clinical spectrum that includes sodium-channel myotonia, paramyotonia congenita, hypokalemic periodic paralysis type II and hyperkalemic periodic paralysis.",<http://identifiers.org/hgnc/10591>,SCN4A
<http://purl.obolibrary.org/obo/MONDO_0011497>,hereditary North American Indian childhood cirrhosis,"Hereditary North American Indian childhood cirrhosis is a severe autosomal recessive intrahepatic cholestasis that has only been described in aboriginal children from northwestern Quebec. Manifesting first as transient neonatal jaundice, the disease evolves into periportal fibrosis and cirrhosis during a period ranging from childhood to adolescence.",<http://identifiers.org/hgnc/1983>,UTP4
<http://purl.obolibrary.org/obo/MONDO_0008165>,southeast Asian ovalocytosis,"Southeast Asian ovalocytosis (SAO) is a rare hereditary red cell membrane defect characterized by the presence of oval-shaped erythrocytes and with most patients being asymptomatic or occasionally manifesting with mild symptoms such as pallor, jaundice, anemia and gallstones.",<http://identifiers.org/hgnc/11027>,SLC4A1
<http://purl.obolibrary.org/obo/MONDO_0010156>,Troyer syndrome,"Autosomal recessive spastic paraplegia type 20 (SPG20) is a type of complex hereditary spastic paraplegia characterized by an onset in infancy of progressive spastic paraparesis associated with distal amyotrophy, psuedobulbar palsy, motor and cognitive delays, mild cerebellar signs (dysarthria, dysdiadochokinesia, mild intention tremor), short stature and subtle skeletal abnormalities (pes cavus, mild talipes equinovarus, kyphoscoliosis). SPG20 is due to mutations in the SPG20 gene (13q13.1), which encodes the protein spartin.",<http://identifiers.org/hgnc/18514>,SPART
<http://purl.obolibrary.org/obo/MONDO_0014608>,mandibulofacial dysostosis with alopecia,"A syndrome characterized by malar and mandibular hypoplasia, typically associated with abnormalities of the ears and eyelids, and with alopecia.",<http://identifiers.org/hgnc/3179>,EDNRA
<http://purl.obolibrary.org/obo/MONDO_0007650>,MALT lymphoma,"An indolent, extranodal type of non-Hodgkin lymphoma composed of small B-lymphocytes (centrocyte-like cells). The gastrointestinal tract is the most common site of involvement. Other common sites of involvement include lung, head and neck, ocular adnexae, skin, thyroid, and breast. Gastric involvement is associated with the presence of H. pylori infection. (WHO, 2001)",<http://identifiers.org/hgnc/989>,BCL10
<http://purl.obolibrary.org/obo/MONDO_0008303>,familial male-limited precocious puberty,"Familial male limited precocious puberty (FMPP) is a gonadotropin-independent familial form of male-limited precocious puberty, generally presenting between 2-5 years of age as accelerated growth, early development of secondary sexual characteristics and reduced adult height.",<http://identifiers.org/hgnc/6585>,LHCGR
<http://purl.obolibrary.org/obo/MONDO_0014278>,immunodeficiency 18,"Immunodeficiency-18 is an autosomal recessive primary immunodeficiency characterized by onset in infancy or early childhood of recurrent infections. Immunologic work-up of the IMD18 SCID patients shows a T cell-negative, B cell-positive, natural killer (NK) cell-positive phenotype, whereas T-cell development is not impaired in the mild form of IMD18.",<http://identifiers.org/hgnc/1674>,CD3E
<http://purl.obolibrary.org/obo/MONDO_0007875>,Larsen syndrome,"Larsen syndrome (LS) is a rare skeletal dysplasia characterized by congenital dislocation of large joints, foot deformities, cervical spine dysplasia, scoliosis, spatula-shaped distal phalanges and distinctive craniofacial abnormalities, including cleft palate.",<http://identifiers.org/hgnc/3755>,FLNB
<http://purl.obolibrary.org/obo/MONDO_0007727>,autosomal dominant familial periodic fever,"A periodic fever syndrome, characterized by recurrent fever, arthralgia, myalgia and tender skin lesions lasting for 1 to 3 weeks, associated with skin, joint, ocular and serosal inflammation and complicated by secondary amyloidosis.",<http://identifiers.org/hgnc/11916>,TNFRSF1A
<http://purl.obolibrary.org/obo/MONDO_0012191>,hepatoencephalopathy due to combined oxidative phosphorylation defect type 1,"Hepatoencephalopathy due to combined oxidative phosphorylation deficiency type 1 is a rare, inherited mitochondrial disorder due to a defect in mitochondrial protein synthesis characterized by intrauterine growth retardation, metabolic decompensation with recurrent vomiting, persistent severe lactic acidosis, encephalopathy, seizures, failure to thrive, severe global developmental delay, poor eye contact, severe muscular hypotonia or axial hypotonia with limb hypertonia, hepatomegaly and/or liver dysfunction and/or liver failure, leading to fatal outcome in severe cases. Neuroimaging abnormalities may include corpus callosum thinning, leukodystrophy, delayed myelination and basal ganglia involvement.",<http://identifiers.org/hgnc/13780>,GFM1
<http://purl.obolibrary.org/obo/MONDO_0009151>,cleft lip/palate-ectodermal dysplasia syndrome,"An ectodermal dysplasia syndrome characterized by hair, skin and teeth anomalies, facial dysmophism with cleft lip and palate, cutaneous syndactyly and, in some cases, intellectual disability.",<http://identifiers.org/hgnc/9706>,NECTIN1
<http://purl.obolibrary.org/obo/MONDO_0008156>,autosomal dominant osteopetrosis 2,A sclerosing disorder of the skeleton characterized by increased bone density that classically displays the radiographic sign of ''sandwich vertebrae'' (dense bands of sclerosis parallel to the vertebral endplates).,<http://identifiers.org/hgnc/2025>,CLCN7
<http://purl.obolibrary.org/obo/MONDO_0009756>,Niemann-Pick disease type A,"Niemann-Pick disease type A is a very severe subtype of Niemann-Pick disease, an autosomal recessive lysosomal disease, and is characterized clinically by onset in infancy or early childhood with failure to thrive, hepatosplenomegaly, and rapidly progressive neurodegenerative disorders.",<http://identifiers.org/hgnc/11120>,SMPD1
<http://purl.obolibrary.org/obo/MONDO_0007987>,Kniest dysplasia,"Kniest dysplasia is a severe type II collagenopathy characterized by a short trunk and limbs, prominent joints and midface hypoplasia (round face with a flat nasal root).",<http://identifiers.org/hgnc/2200>,COL2A1
<http://purl.obolibrary.org/obo/MONDO_0011953>,familial acute necrotizing encephalopathy,"Familial acute necrotizing encephalopathy or ADANE is a potentially fatal neurological disease characterized by neuropathological lesions principally involving the brainstem, thalamus and putamen.",<http://identifiers.org/hgnc/9848>,RANBP2
<http://purl.obolibrary.org/obo/MONDO_0014262>,Rienhoff syndrome,"Loeys-Dietz syndrome-5 (LDS5), also known as Rienhoff (pronounced REENhoff) syndrome, is characterized by syndromic presentation of aortic aneurysms involving the thoracic and/or abdominal aorta, with risk of dissection and rupture. Other systemic features include cleft palate, bifid uvula, mitral valve disease, skeletal overgrowth, cervical spine instability, and clubfoot deformity; however, not all clinical features occur in all patients. In contrast to other forms of LDS, no striking aortic or arterial tortuosity is present in these patients, and there is no strong evidence for early aortic dissection.",<http://identifiers.org/hgnc/11769>,TGFB3
<http://purl.obolibrary.org/obo/MONDO_0100112>,acyl-CoA binding domain containing protein 5 deficiency,"A disorder of a single peroxisomal protein, acyl-CoA binding domain containing protein 5, which forms a contact site between the peroxisomes and the ER. The deficiency is characterized by elevated blood very long-chain fatty acids (VLCFAs), retinal dystrophy, cerebral white matter disease and psychomotor delay.",<http://identifiers.org/hgnc/23338>,ACBD5
<http://purl.obolibrary.org/obo/MONDO_0011365>,"blepharophimosis - intellectual disability syndrome, SBBYS type","Blepharophimosis-intellectual disability syndrome, SBBYS type is characterized by the association of congenital hypothyroidism, facial dysmorphism (microcephaly, blepharophimosis, a bulbous nose, thin lip, low-set ears and micrognathia), postaxial polydactyly and severe intellectual deficit. Less than 20 cases have been reported so far. Cryptorchidism is present in affected males. Some patients also have cardiac anomalies (interventricular communication), hypotonia and growth delay. Autosomal recessive inheritance has been suggested.",<http://identifiers.org/hgnc/17582>,KAT6B
<http://purl.obolibrary.org/obo/MONDO_0013081>,lymphoproliferative syndrome 1,"A condition of decreased or absent presence or activity of IL2-inducible t-cell kinase. Deficiency of this protein is associated with lymphoproliferative syndrome 1, an autosomal recessive primary immunodeficiency characterized by onset in early childhood of Epstein-Barr virus (EBV)-associated immune dysregulation, manifest as lymphoma, lymphomatoid granulomatosis, hemophagocytic lymphohistiocytosis, Hodgkin disease, and/or hypogammaglobulinemia..",<http://identifiers.org/hgnc/6171>,ITK
<http://purl.obolibrary.org/obo/MONDO_0008401>,pleomorphic adenoma,"A neoplasm characterized by the presence of benign epithelial and myoepithelial cells and a mesenchymal component that may contain mucoid, myxoid, cartilaginous, or osseous areas. It may be completely or partially encapsulated. It occurs in the parotid gland, submandibular gland, minor salivary glands in the oral cavity, upper respiratory tract, and nasal cavity and paranasal sinuses. It usually presents as a slow growing painless mass. Infrequently, patients may present with pain and facial palsy. It may recur after excision or transform to a malignant neoplasm (carcinoma ex pleomorphic adenoma).",<http://identifiers.org/hgnc/9045>,PLAG1
<http://purl.obolibrary.org/obo/MONDO_0008572>,"tibia, hypoplasia or aplasia of, with polydactyly","Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome is a rare, genetic dysostosis syndrome, with marked inter- and intra-familial variation, typically characterized by triphalangeal thumbs, hand and/or foot polysyndactyly and/or absent/hypoplastic tibiae (associated with duplication of fibulae in some cases), although isolated triphalangeal thumbs have also been reported. It is often accompanied with remarkable short stature and additional features may include radio-ulnar synostosis and hand oligodactyly, as well as abnormal carpal and metatarsal bones.",<http://identifiers.org/hgnc/13243>,LMBR1
<http://purl.obolibrary.org/obo/MONDO_0008515>,syndactyly type 4,A very rare congenital distal limb malformation characterized by complete bilateral syndactyly (involving all digits 1 to 5).,<http://identifiers.org/hgnc/13243>,LMBR1
<http://purl.obolibrary.org/obo/MONDO_0009562>,beta-mannosidosis,"Beta-mannosidosis is a very rare lysosomal storage disease characterized by developmental delay of varying severity and hearing loss, but that can manifest a wide phenotypic heterogeneity.",<http://identifiers.org/hgnc/6831>,MANBA
<http://purl.obolibrary.org/obo/MONDO_0008246>,pigmented paravenous retinochoroidal atrophy,"Pigmented paravenous retinochoroidal atrophy (PPRCA) is a rare, commonly bilateral and symmetric retinal disease characterized by non-progressive or slowly progressive chorioretinal atrophy, peripapillary pigmentary changes and accumulation of ''bone-corpuscle'' pigmentation along the retinal veins and which is usually asymptomatic or can present with mild blurred vision.",<http://identifiers.org/hgnc/2343>,CRB1
<http://purl.obolibrary.org/obo/MONDO_0011731>,glucose-galactose malabsorption,"Glucose-galactose malabsorption (GGM) is a very rare, potentially lethal, genetic metabolic disease characterized by impaired glucose-galactose absorption resulting in severe watery diarrhea and dehydration with onset inthe neonatal period.",<http://identifiers.org/hgnc/11036>,SLC5A1
<http://purl.obolibrary.org/obo/MONDO_0008675>,Freeman-Sheldon syndrome,"A very rare, multiple congenital contractures syndrome characterized by a microstomia with a whistling appearance of the mouth, distinctive facies, club foot and joint contractures. FSS is the most severe form of distal arthrogryposis.",<http://identifiers.org/hgnc/7573>,MYH3
<http://purl.obolibrary.org/obo/MONDO_0011687>,Charcot-Marie-Tooth disease axonal type 2F,"Autosomal dominant Charcot-Marie-Tooth disease type 2F (CMT2F) is a form of axonal Charcot-Marie-Tooth disease, a peripheral sensorimotor neuropathy. CMT2F is characterized by symmetric weakness primarily occurring in the lower limbs (distal muscles in a majority of cases) and reaching the arms only after 5 to 10 years, occasional and predominantly distal sensory loss and reduced tendon reflexes. CMT2F presents with gait anomaly between the 1st and 6th decade and early onset is generally associated to a more severe phenotype which may include foot drop.",<http://identifiers.org/hgnc/5246>,HSPB1
<http://purl.obolibrary.org/obo/MONDO_0014460>,nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome,"Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome is a rare genetic ectodermal dysplasia syndrome characterized by short stature, nail dystrophy and/or nail loss, oral mucosa and/or tongue hyperpigmentation, dentition abnormalities (delayed teeth eruption, hypodontia, enamel hypoplasia), keratoderma on the margins of the palms and soles and focal hyperkeratosis on the dorsum of the hands and feet. Additionally, dysphagia with esophageal strictures, sensorineural deafness, bronchial asthma and severe iron-deficiency anemia have been observed.",<http://identifiers.org/hgnc/2799>,GRHL2
<http://purl.obolibrary.org/obo/MONDO_0009033>,temtamy syndrome,"Temtamy syndrome is a very rare congenital genetic neurological disorder characterized by agenesis/hypoplasia of corpus callosum with developmental abnormalities, ocular disorders, and variable craniofacial and skeletal abnormalities.",<http://identifiers.org/hgnc/29521>,C12orf57
<http://purl.obolibrary.org/obo/MONDO_0013058>,cystic leukoencephalopathy without megalencephaly,"Cystic leukoencephalopathy without megalencephaly is characterized by non-progressive leukoencephalopathy, bilateral cysts in the anterior part of the temporal lobe, cerebral white matter anomalies and severe psychomotor impairment. Less than 50 patients have been described in the literature so far. Inheritance is most likely autosomal recessive.",<http://identifiers.org/hgnc/21686>,RNASET2
<http://purl.obolibrary.org/obo/MONDO_0011198>,"spondyloepimetaphyseal dysplasia, Missouri type","A spondyloepimetaphyseal dysplasia characterized by moderate-to-severe metaphyseal changes, mild epiphyseal involvement, rhizomelic shortening of the lower limbs with bowing of the femora and/or tibiae, coxa vara, genu varum and pear-shaped vertebrae in childhood.",<http://identifiers.org/hgnc/7159>,MMP13
<http://purl.obolibrary.org/obo/MONDO_0008560>,thrombophilia due to activated protein C resistance,A hemostatic disorder characterized by a poor anticoagulant response to activated protein C (APC). The activated form of Factor V (Factor Va) is more slowly degraded by activated protein C. Factor V Leiden mutation (R506Q) is the most common cause of APC resistance.,<http://identifiers.org/hgnc/3542>,F5
<http://purl.obolibrary.org/obo/MONDO_0012280>,Goldberg-Shprintzen syndrome,"A multiple malformation syndrome characterized by Hirschprung megacolon with microcephaly, hypertelorism, submucous cleft palate, short stature and learning disability.",<http://identifiers.org/hgnc/23419>,KIFBP
<http://purl.obolibrary.org/obo/MONDO_0010083>,succinic semialdehyde dehydrogenase deficiency,"Succinic semialdehyde dehydrogenase (SSADH) deficiency is a rare neurometabolic disorder of gamma-aminobutyric acid (GABA) metabolism with a nonspecific clinical presentation (ranging from mild to severe) with the most frequent symptoms being cognitive impairment with prominent deficit in expressive language, hypotonia, ataxia, epilepsy, and behavioral dysregulation.",<http://identifiers.org/hgnc/408>,ALDH5A1
